1. ORT, 9.8
#Worm - A Shard Superweapon reformed by Chaos, the Simurgh is a floating angel-like entity with extreme physic powers. Simurgh has negligible albeit extremely precise offensive powers for her tier with her telekinesis but her real ability lies in her absurd clairvoyance that she can use to scan an entire planet and precisely predict the past and future using her hypercomputer brain as well as manipulate the actions of others. She also has a standard Enbringer physique with superhuman physical abilities and freakish durability(A/N: Scaled down to country level). Her Tinker Database has been wiped clean but she can still scan and rebuild technology.
235.Behemoth,6.7
#Worm - A Shard Superweapon reformed by Chaos, and the toughest among the three siblings. Behemoth is a giant capable of manipulating energy, allowing it to shoot powerful lightning bolts, create flames and release shockwaves. He can also redirect projectiles, and manipulate and absorb existing energy to a limit. He can also unleash extreme amounts of radiation from his body. As an Enbringer and the physically strongest one he has incredible strength and durability(A/N: Scaled down to multi-country level)
236.Dragon,5.9
#(Character) - Not an actual dragon. Instead, Dragon, or Theresa is a hyper-advanced tinker-made AI who is capable of copying, imitating and iterating on existing existing technology to design her own. As an advanced, she is capable of directing hundreds of mechs with ease as long proper servers are supplied to her. But due to limitations on her code she is incapable of creating more AI.
237.Light and Nightfury,2.6
#How to Train Your Dragon - A breeding pair of a Nightfury and Lightfury, they are semi-aquatic agile lithe dragons who can release unique plasma breaths in contrast to the regular dragon fire breath. They are very fast and intelligent and possess great stealth abilities despite being dragons.
238.Blue Diamond,5.6
#(Character)Steven Universe - Blue Diamond is a former intergalactic with her own gem empire. As a Diamond gem, she has great physical abilities and durability with her gem, her core being insanely durable for her tier. She is capable of using energy-based attacks and unleashing emotion-manipulating aura. As well as possessing all of the abilities of the average gem such as shapeshifting, storage space, fusion, and restoring her physical form as long as her core is intact.
239.Lapis Lazuli,5.4
#(Character)Steven Universe - Lapis Lazuli is an unusually powerful Laips Lazuli. As a Lapis, a caste made for terraforming, she has powerful and precise hydrokinetic abilities being able to control vast amounts of water with enough precision to make water minions. As a Gem, she also has considerable physical abilities as well as the standard abilities they have such as shapeshifting, fusion and regeneration as long as her gem stays intact. Her maximum energy output and hydrokinetic ability scales with your maximum energy reserves. 
240.Tiamat,9.1
#(Character)Fate - Tiamat is the Beast II of humanity, the Mother of All Life. As a Beast Tiamat has unmatched physical abilities and magical power. She is able to create and control the Sea of Life, a black mud-like conceptual substance that remakes any organism it consumes into one of her children, as long as the Sea of Life exists Tiamat lacks the concept of Death and has virtually unlimited magical power, and as long as Tiamat she can recreate the Sea of Life. She also possesses the ability to rewrite local reality with Nega-Genesis to deny all forms of anything that has evolved from base humanity like mythical abilities and gods.
241.Goetia,9.5
#(Character)Fate - Goetia is the King of Demons, a hivemind of 72 demon gods and a supreme magic system. He is capable of nullifying all magic with Solomon's 9 rings and is immortal as long any one of the 72 pillars is alive, and due to his temple of time, unless it is breached any of the pillars will revive there. He also possesses nigh omniscience with his Clairvoyance being able to see the past, present and future. He is an absolute master of magic and can rip out souls with a simple gaze. 
242.Kirby,9.6
#Kirby - "Poyo!" One cannot begin to imagine or describe the powers this creature possesses.
243.Chicken,1.5
#Minecraft - Whatever this chicken is, it does not obey any known laws of physics. It lays an egg every 6 - 12 in perfect condition and this this egg can thrown at the ground to have a chance of spawning a baby chicken that will grow to adulthood in 24 hours, they can also breed without eggs too in order to produce children together. The eggs are not fertilized unless thrown and taste great, so does the chicken's meat. No biology explains this, you get a pair. 
244.Golden Goose,1.6
#Yes, it really did lay some golden eggs. This otherwise regular-looking goose lays a golden egg every 24 hours, the egg is solid gold unless the Goose is fertilized.
245.Untitled Goose,2.0
#Unntitled Goose Game - The biggest asshole goose on planet Earth, and that is a hard title to contend with. This feathered menace is an expert at annoying and inconveniencing people. As if that were not enough, the Goose is immortal and will respawn in the familiar space 1 hour after its death.
246.Peridot,5.6
#(Tech)(Character)Steven Universe - A second era Peridot, a gem cast built specifically as engineers and maintenance workers for gem tech. She has incredible knowledge about engineering and creating technology from the Gem Empire, such as droids and warp pads, provided with enough resources and time that is. She also possesses formidable ferrokinetic abilities despite her meagre physical stats. As a second era gem, her natural gem abilities are impaired, thus she cannot shapeshift. The level of tinkertech she can build is relative to the user's power level.
247.Sapphire,4.8
#(Character)Steven Universe - A second era Sapphire, a gem cast built to be able to see the future and provide advantages to their ruler. Sapphire has the ability to look into the likely future, but her future vision can be thrown off by unexpected variables. She has beyond human physical abilities and an uncommon rank cryokinesis to aid her in combat.
248.Pearl,4.0
#(Character)Steven Universe - Pearl is a first era gem created to be the perfect attendant. In addition to her superhuman stats, she has intermediate Cooking, Management, Weapon Mastery, Performance, Drawing, Discipline, Acting, Savoir Faire and Teaching. Making her the perfect attendant in almost all situations. She also possesses the standard gem abilities like storage, shapeshifting etc. You get to pick which pearl you get.
249.Eliza & Sekhmet,4.6
#(Character)Skullgirls - Eliza was once an Egyptian empress who fused with the Parasite skeleton Sekhmet. Sekhmet allows Eliza to control blood, and replace her own body with blood that she controls, allowing her to shapeshift as she wills. Sekhmet also gives her superhuman physical stats. Eliza can store blood inside herself that she sustains herself on. She is also an excellent performer and combatant.
250.Koro Sensei,6.8
#(Character)Assassination Classroom - Koro Sensei, formerly one of the best assassins in the world and a polymath genius now an Antimatter creature. Koro's sensei's body is extremely strong and malleable; in addition, he has extreme speed and perception, moving so fast that it looks like he clones himself to the naked eye. He has numerous other abilities due to his Antimatter, such as flight, regeneration, releasing mucus etc. He is also an excellent teacher by all metrics, whether it is combat or any science.
251.Dreadon,8.9
#(Character)(Tech)Calamity Mod - A true marvel of engineering, a being of pure absolute amoral devotion to science. The mind of Dreadon is uploaded into a decoy body. Dreadon is an engineer capable of creating machines that can rival and surpass even gods themselves, being able to harness the power of souls, cosmos, void, and even the most exotic energies of the multiverse in his crafts. With enough resources and time, what he is capable of building can only be speculated.
252.S-Snake,6.8
#(Character)One Piece - a Seraphim clone of Boa Hancock, the pirate empress, spliced with Lunarian DNA and Vegapunk's augments. S-Snake possesses incredible physical abilities as well as advanced weaponry such as laser canons and her own Lunarion. She also has the ability to turn anyone charmed by her into stone. She also possesses the ability to utilise Observation and Armament haki.
253.Meruem,7.8
#Hunter x Hunter - Meruem is the Chimaera Ant King. Meruem is a true monster, possessing tremendous physical abilities and an IQ beyond even most geniuses. His most powerful ability is the ability to consume the flesh of others to gain their abilities and increase his own stats(Does not work on Gacha wielder or Gacha Familiars), but he is limited by the number of ability slots you have; if you have 2 ability slots, so does he. Lastly, he has immense mastery over his own nen.
254.Godzilla,6.2
#Monsterverse - Godzilla is a titanic beast from the ancient ages with a tremendous body, with an almost impregnable defence and physical strength matching their size. Godzilla is also capable of absorbing radiation and converting it to energy to fuel itself and its devastating atomic breath.
255.Ghidorah,6.9
#Monsterverse - Ghidora is a titanic flying beast from the ancient ages. It has strength befitting its size and durability, such that it almost seems invulnerable. Ghidorah is capable of calling thunderstorms and absorbing energy from energy sources to unleash lightning or concentrated energy beams capable of massive devastation. As if that were not enough, as long as Ghidorah has enough energy, it is capable of nigh instantenous regeneration, coupled with its seemingly endless stamina, this creature an apex predator.
256.Mothra,6.1
#Monsterverse - Mothra is a flying Titan from the Hollow Earth. Mothra has extreme physical stats befitting her size, and incredible flying speeds. In addition, she is capable of sensing the weather and shape of the planet and create hyper-durable silk that can restrict even titans. Mothra also has the ability to cheat death; whenever she is killed, she will return to her familiar space as an egg that will hatch in around a week.
257.Shimo,7.0
#Monsterverse - Shime is the Titan who started the Ice Age. She has strength and durability that are basically incomparable, being able to withstand the strongest weapons humanity can create with ease and overpower even Godzilla. Just from her presence, the surroundings are plunged below freezing temperatures, and her directed frost breath is strong enough to freeze even titans in mere seconds. If aimed towards the sky, it can create monolithic blizzards. If given enough time, Shimo can create another Ice Age.
258.Parasite,3.5
#Parasyte the Maxim - A parasite is a tiny parasitic organism that burrows into flesh and merges with it. The Parasite has potent biokinetic abilities on the parts of flesh they are merged into, being able to control even cellular structures, and they are fiercely intelligent. If they burrow into the brain, they can take over a person's body, but that is quite unreliable. 
259.Excalibur,6.7
#(Character)Soul Eater - "From the United King~ I am looking for him~" Excalibur is a Great Old One from a foreign world that takes on the form of the ultimate weapon Excalibur. In his sword form, he grants the user extreme power, the ability to cut space, make portals and teleport freely, and as a Great Old One, he is capable of using Madness Wavelength of Rage to bring rage to the minds of anyone. He has no conditions to wield him technically; anyone can utilise his blade. He is just so intolerably annoying that almost no mortal can withstand him. To the point where he was ranked down from Mythical rarity.
260.Chauffeur,1.3
#This familiar, when called, summons a very luxurious limousine driven by a golem driver that will drive you to anywhere you specify that it can successfully drive to before driving off and vanishing the moment it goes out of sight. If the car and/or the driver is destroyed, this familiar will go into a 24-hour cooldown.
261.Goons,2.5
#(Character) 50 roughly 30-year-old Italian men who look mob-affiliated and share eerily similar appearances. They are not the brightest, but they can individually rough up the average man pretty good. They are useful for menial or somewhat complex tasks like serving as guards, manning a shop and other such activities. 
262.Ddraig Y Goch,8.6
#(Character)Highschool DxD - Ddraig is the Heavenly Dragon Emperor of Domination. As one of the Heavenly Dragons, Ddraig's strength surpasses all but the strongest of gods with his extreme physical and magical abilities. His signature ability is Boost, which increases his power each time it is used(NOT DOUBLE), as well as the ability to use Boost to transfer his power to others. He also possesses the ability to penetrate to ignore all magic defences and his strongest ability, Blazing Inferno of Scorching Flames, is a fire breath strong enough to burn anything, even the strongest of gods.
263.Albion,8.5
#(Character)Highschool DxD - Albion is the Heavenly Dragon Emperor of Supremacy. As one of the Heavenly Dragons, Albion's strength surpasses all but the strongest of gods with his extreme physical and magical abilities. He possesses the ability to Divide that allows him to reduce the power of his enemies and use it to bring himself to peak condition(NOT HALVED), he can also use this ability to divide even space and objects. He is also capable of reflecting attacks with his ability, but his moment potent ability is the ability Reduce, his own venom that reduces the existence of whoever it affects until they vanish from existence.
264.Mewtwo,7.0
#(Character)Pokemon - An artificial Pokemon sharing DNA with Mew. Mewtwo is a tremendously powerful and capable Esper. He is capable of reading minds, controlling minds, creating barriers, projecting energy blasts, using telekinesis, projecting elemental abilities and much, much more. 
265.Remy,1.2
#Ratatouille - Remy is an unusually smart rat who is a very proficient chef.
266.Dialga,8.9
#Pokemon - Dialga is the Pokémon God of Time, having been created at the eve of the creation of the universe by Arceus. Altough, Dialga's physical abilities are lacking comparatively, its power over time is undeniable. Being able to distort, stop, speed up, reverse, loop, and travel time, but powerful opponents can resist the effects to a degree. They can also unleash powerful attacks with their energy.
267.Palkia,8.8
#Pokemon - Palkia is the Pokémon God of Space, having been involved in the creation of its universe. Although Palkia's physical abilities are lacking comparatively, its power over space is undeniable. Being able to warp space, teleport, create portals, destroy objects in space, travel through dimensions, and even create pocket dimensions. They can also use their energy to create powerful attacks.
268.Giratina,8.7
#Pokemon - Giratina is the Pokémon God of Antimatter, the balance between time and space when creating the universe. While their physical stats are comparatively lacking, Giratina can manipulate dark energy and the Reverse world; they can retreat into and manipulate the Reverse anytime and affect the material dimension from there, as damage there reflects to the real world. They can also use their energy to create powerful attacks.
269.Khorne,7.6
#Warhammer 40k - It is Khone, not figuratively, rhetorically or any other kind of Prose, straight up Khorne, the Blood God. Their true form exists in your familiar space now, but cannot be fully taken out. Khorne allows you to receive their blessings, teachings and lend you their power. The extent at which you can benefit from Khorne is dependent on your affinity with them, which you can increase by committing actions of violence, rage and sacrifices for the Skull Throne. The higher the affinity, the greater blessings you receive and the stronger Avatar Khorne can manifest themselves as in order to be by your side as an actual familiar.
270.Slaneesh,7.5
#Warhammer 40k - It is Slaneesh, not figuratively, rhetorically or any other kind of Prose, straight up Slaneesh, the Prince of Debauchery. Her true form exists in your familiar space now, but cannot be fully taken out. Slaneesh allows you to receive their blessings, teachings and lend you their power. The extent to which you can benefit from Slanessh is dependent on your affinity with them, which you can increase by committing actions of debauchery, lust, obsession, suffering, etc. The higher the affinity, the greater blessings you receive and the stronger Avatar Slaneesh can manifest herself as in order to be by your side as an actual familiar.
271.Tzeentch,7.7
#Warhammer 40k - It is Tzeentch, not figuratively, rhetorically or any other kind of Prose, straight up Tzeentch, the Changer of Ways. Their true form exists in your familiar space now, but cannot be fully taken out. Tzeentch allows you to receive their blessings, teachings and lend you their power. The extent to which you can benefit from Tzeentch is dependent on your affinity with them, which you can increase by committing actions of planning, outwitting, deception, etc. The higher the affinity, the greater blessings you receive and the stronger Avatar Tzeentch can manifest themselves as in order to be by your side as an actual familiar.
272.Nurgle,7.4
#Warhammer 40k - It is Nurgle, not figuratively, rhetorically or any other kind of Prose, straight up Nurgle, the Plague Father. Their true form exists in your familiar space now, but cannot be fully taken out. Nurgle allows you to receive their blessings, teachings and lend you their power. The extent to which you can benefit from Nurgle is dependent on your affinity with them, which you can increase by committing actions of decay, poisoning, desperation, death, etc. The higher the affinity, the greater blessings you receive and the stronger Avatar Nurgle can manifest themselves as in order to be by your side as an actual familiar.
273.Puar,3.1
#(Character)Dragon Ball - Puar is a weird floating cat creature. Although she has little to no real combat ability, she graduated from Transformation Academy, allowing her to change her physical form to anything, ranging from objects to people, without changing her stats. She is also capable of teaching transformation to others as long as they have the talent and time. 
274.Acnologia,8.8
#(Character)Fairy Tail - After bathing in the blood of countless dragons as a Dragon Slayer, Acnologia became a Dragon himself, and the mightiest Dragon King among them. Acnologica is the arcane dragon slayer, allowing him to eat all elements to empower himself or recover his energy and health, and is completely immune to all forms of magic until you overwhelm his absorption. In addition to his overwhelming magical and physical ability, he can unleash overpowering beams of destruction and use a variety of magic, including even time manipulation.
275.THWOMP,1.6
#Mario - "URNGH" Giant sentient(?) angry boulder creature. You can summon the THWOMP above your targets for him to slam down with strength, or summon him in front of you to act as a wall. If the THWOMP suffers damage, it will be mended over time inside of the gacha.
276.Kaguya Otsutsuki,9.0
#(Character)Naruto - The Rabbit Goddess and the Progenitor of Chakra. As an Otsutsuki who ate the Chakra Fruit, she possesses truly godlike powers, with the most notable ones being able to manipulate all chakra natures, create Truth-seeking Balls, absorb energy, even including those of living beings, the All-Killing Ashbones that disintegrate targets, and the Rinne Sharingan. She also has the ability to warp space to create pocket dimensions and travel through dimensions herself.
277.Renamon,2.8
#Digimon - Renamon is a strong beastman like Fox digimon with formidable physical abilities, with a focus on speed and agility. Renamon is skilled in Ninjutsu, whether that is using it in tandem with unarmed strikes using her claws cloaked in flame or performing basic ninja spells with it. (evolution does not exist)
278.Taomon,3.9
#Digimon - Tamon is a fox-like wizard Digimon with formidable physical stats and a speciality in Omnyudo, being able to create a variety of magical talismans to invoke special effects such as barriers, elemental attacks. She is also capable of creating and utilising constructs by drawing in the air using her paintbrush. (evolution does not exist)
279.Skullgreymon,3.7
#(Character)Digimon - A monstrous, undead Digimon that has devolved from a creature to a being of pure combat. In addition to its combat instinct and formidable physique thanks to its size, Skullgreymon is a living biomissile silo, being able to launch a variety of missiles from its back, ranging from normal, toxic, tracking, to ones that are even stronger. He can also breathe paralysing, toxic breath. But he does not possess a higher intellect, making him unable to execute complex orders or act independently effectively without supervision.
280.Golem Worker,2.3
#This is a crew of iron golem workers with skill in Intermediate Mechanics, and a knack for labour. The workers are tireless and can work on projects without break, but cannot engage in combat. The number of workers you can summon is dependent on your maximum energy, but the minimum is 10.
281.Lilithmon,4.6
#(Character)Digimon - Lilithmon was once revered as a Goddess of Darkness, but is now reduced to level 1. She has considerable physical ability paired with her skill in darkness magic. She is capable of unleashing potent corroding darkness and using charming magic to charm targets. To recover and increase her power, she can devour the mana of fresh corpses.
282.Shademon,2.6
#Digimon - Shademon is a sentient living shadow; it may have a distinct lack of combat ability, but it is capable of tormenting targets with illusions and possessing targets, enhancing their stats and granting the ability to manipulate its shadow-like form to attack. They also get stronger by devouring the mana of fresh corpses.
283.Eyesmon,4.7
#Digimon - A shadow demon dragon digimon, Eyesmon has tremendous physical strength and can burrow into shadows at will, his eyes grant him incredible sensory abilities and the ability to shoot cursed beams from his multitude of eyes. It is capable of splitting up its body into scatter mode to use for scouting and spying, as well as binding shadows. They also get stronger by devouring the mana of fresh corpses.
284.Hydramon,4.2
#Digimon - A gigantic plantlike Digimon monster, Hydramon, has great physical prowess befitting its size and physiology. In addition, it constantly secretes toxic acid that it can utilise offensively and spew out of its maws, and it can also fire beam-like attacks from its three heads. Its tentacles can stretch and grow to attack or dig into the earth and cause earthquakes.
285.Angewomon,4.4
#(Character)Digimon - Angewomon is an Angel Digimon with formidable physical abilities paired with her skill in Holy and Light magic, making her a formidable combatant. She can also unleash holy lightning and tornadoes and recover the health and status of her allies. She also receives a small boost according to how evil her opponent is.
286.Ladydevimon,4.4
#(Character)Digimon - Ladydevimon is a Demon Digimon with formidable physical might, paired with her ability to manipulate corrosive darkness, making her a formidable combatant. She can create and shape darkness into familiars to attack, unleash waves of noxious darkness or use darkness to enhance her physical abilities to attack. Her poison is stronger the more energy the opponent has, but starts falling off after a tier.
287.Ariemon,4.8
#(Character)Digimon - Ariemon is an Ocean Spirit who specialises in Hydrokinesis, healing and support. She is capable of healing and curing creatures using seawater to shape it into attacks like spears, but prefers to avoid causing harm and instead can trap creatures in conjured seashells. In addition, she can sometimes predict and foretell upcoming disasters about to appear in the world.
288.Lamiamon,3.9
#(Character)Digimon - Lamiamon is a draconic snake-like Digimon who specialises in the use and mastery of poison. While she lacks proper ability in a direct confrontation. She can synthesise a variety of poisons, such as poison, melting, paralysis, vitality sapping etc. The more potent the poison, the more energy it consumes and the effects of the poison is reduced the stronger the target is. Her mastery over poison allows her to cure some ailments with specialised poisons too.
289.Medusamon,4.0
#(Character)Digimon - Medusamon is a draconic Digimon who takes after the mythical gorgon. Alongside her formidable physical abilities, her hair is made up of powerful serpent dragons that can extend and chase down enemies independently. She is also capable of turning enemies into stone with her eye, the speed at which they turn to stone is dependent on the amount of energy she expends and the power difference between her and the target, strong enough targets can ignore the effect.
290.The Lich,7.8
#Adventure Time - "Before there was nothing... there were monsters." Lich, the last scholar of Golb, is a primordial undead force of existence who has existed before nothing that embodies entropy and death He is an absolute master of Death magic and a variety of magic, such as Pyro, Mind, Necromancy, etc. Wherever he goes, death follows. He is able to impose death on the living and dominate the minds of those around him. He is nigh impossible to kill for good. He possesses incredible intelligence and insight due to the nature of his existence. 
291.Lil' Khorne,5.1
#(Character)Warhammer 40k - What if you took one of the all-powerful Chaos Gods and sent them back down to Level 1? You get Lil' Khorne! This Chaos God shrunk down is an incredible warrior with immense physical power and proficiency in all weapons and warfare. Lil' Khorne also boasts greater magic resistance in exchange for being unable to use magic due to their disdain. They start off weak for an Epic familiar(Roughly Rare in power), but as long as they perform actions that align with their existence, they can slowly level back up. Just don't expect them to reach their original power anytime soon.
292.Lil' Slaneesh,5.2
#(Character)Warhammer 40k - What if you took one of the all-powerful Chaos Gods and sent them back down to Level 1? You get Lil' Slaneesh! This Chaos God shrunk down is a mistress of debauchery and corruption, specialising in charms, manipulating sensations and minds. Lil' Slaneesh is also very skilled at understanding and corrupting people. She starts off weak for an Epic familiar(Roughly Rare in power), but as long as they perform actions that align with their existence, they can slowly level back up. Just don't expect them to reach their original power anytime soon.
293.Lil' Tzeentch,5.7
#(Character)Warhammer 40k - What if you took one of the all-powerful Chaos Gods and sent them back down to Level 1? You get Lil' Tzeentch! This Chaos God shrunk down is an incredible magician/sorcerer, being able to study and learn all kinds of magic at an incredible pace. Lil' Tzeentch is also an excellent mind for all purposes of planning, whether it's starting a business, ruling a country, leading an army or committing espionage. They start off weak for an Epic familiar(Roughly Rare in power), but as long as they perform actions that align with their existence, they can slowly level back up. Just don't expect them to reach their original power anytime soon.
294.Lil' Nurgle,5.0
#(Character)Warhammer 40k - What if you took one of the all-powerful Chaos Gods and sent them back down to Level 1? You get Lil' Nurgle! This Chaos God shrunk down is a master of poisons, decay and toxicity, being able to concoct the most foul of cocktails. Lil' Nurgle is also a bringer of new life, however, being able to use their speciality in unique creative ways of also curing and creating life. They start off weak for an Epic familiar(Roughly Rare in power), but as long as they perform actions that align with their existence, they can slowly level back up. Just don't expect them to reach their original power anytime soon.
295.Scion,9.5
#(Character)Worm - Scion is the Avatar of the Warrior Entity, containing the most essential abilities it has. By default, Scion is physically strong, but that is nothing compared to its variety of abilities, the most distinct ones being able to tell the future, travel through dimensions, shoot powerful beams and its signature ability, Stilling, which allows them to cancel wavelengths through golden light and a massive variety of other abilities. If they were to(Somehow) perish they would eventually reform in the familar space.
296.Grand Guignol,9.6
#Black Souls - The Theatre of Darkness and the Mechanical God woven from the "Ability to Change" owned by Mary Sue. Grand Guignol is an artificial Outer God; as a God, Grand Guignol is capable of creating her own garden(Reality), but her most potent ability other than creation is the ability to change. With the power to change, the Grand Guignol can turn even simple iron bars into ones even other Outer Gods cannot break out of.
297.Majin Buu,9.7
#Dragon Ball - A demon from time immemorial, the entire universe feared. Majin Buu is a being of unbeliable, being able to vanquish entire solar systems with ease, his screams themselves can tear apart dimensions, his unique malleable physiology makes it all but impossible to kill him. He can also absorb the bodies, powers and energy of anything he can get his hands on. A true horror of any universe.
298.Anti Spiral,9.9
#Gurren Lagann - Anti-Spiral is the physical manifestation of the Anti-Spiral itself. His power over reality is unmatched. Nothing beyond the Outer Gods or the Spiral can match it.
299.Obelisk the Tormentor,6.5
#Yugioh - Obelisk, the Tormentor, the Divine Soldier, is an Egyptian God who stands imposingly with overwhelming physical might. As an Egyptian God, no magic or ability below Legendary rank can directly affect him. Obelisk can also unleash blasts of destructive dark energy. His power can be further temporarily enhanced by giving him sacrifices.
300.Winged Dragon of Ra,7.0
#Yugioh - Winged Dragon of Ra, the Sun Dragon, is an Egyptian God who stands in the form of an imposing golden Phoenix. As a Phoenix embodying the sun Ra, along with his powerful body, can unleash divine flames like that of the sun, incinerating anything, especially demonic and dark beings. Ra can also enter his Phoenix Form, turning into a being of pure flame to gain immense resistance and regeneration. Ra can be further powered up with sacrifices offered to him. As an Egyptian God, no magic or ability below Legendary rank can directly affect him.
301.Dusknoir,3.8
#Pokemon - Dusknoir is a ghost Pokémon with a hollow body, it possesses great physical strength and extremely strong durability both physical and magical. In addition to being able to release attacks using shadow and darkness, Dusknoir can sense souls, and it can also grab the souls of living and dead creatures to store inside its body.
302.Lucario,3.4
#Pokemon - Lucario is the Aura Pokemon, possessing mighty physical abilities and a penchant for martial arts. Lucario is capable of harnessing aura, allowing it to release blasts of aura, use it to reinforce its body or sense the aura of other living creatures to sense their mood and intent as well as uncover their locations.(You cannot be taught Aura by Lucario)
303.Yvetal,7.7
#Pokemon - Yveltal is the Legendary Pokémon of Destruction. In addition to its overwhelmingly powerful magical abilities and darkness manipulation, Yveltal is capable of unleashing pure destruction beams and unleashing waves of destruction that absorb life and turn living beings into stone. If given the opportunity, it can drain the life of an entire planet.
304.Xerneas,7.6
#Pokemon  - Xerneas is the Legendary Pokémon of Life. In addition to its overwhelmingly powerful magical abilities and light/manipulation, Xerneas is capable of manipulating life, being able to sprout forests in deserts, it can heal even the gravest of injuries and restore the dead back to life with its power over life, although it is taxing. They can also grant immense power to whoever they want, imbuing them with immense energy.
305.Alcremie,1.9
#Pokemon - Alcremie is the cream Pokémon, while she can use some fairy abilities, she is not a fighter, and instead is great at making and cooking sweets. She can also freely change her flavour and create delicious cream from her body.
306.Hoopa,7.2
#Pokemon - Hoopa is the Djinn Pokémon. In addition to its ability to use dark and psychic attribute attacks and its great physical might, Hoopa is capable of using its rings as incredibly versatile portals capable of penetrating even dimensional boundaries between universes. 
307.Frost Legion,3.6
#Terraria - Allows you to summon the Frost Legion, a horde of sentient murder-happy gangster snowmen wielding weapons like hardened ice knives, tommy guns, ice grenades, etc. The number of snowmen you can summon at once depends on your maximum energy. The minimum amount is 50. If a snowman gets killed, you recover 1 snowman every 1 hour. If you have frost/Ice affinity, the snowmen get stronger.
308.Salt Golem,0.1
#A little 5cm tall salt golem made of condensed and distilled salty tears from wasted tickets.
